ticker,country,market_cap,sector,yf_name,quote_type,name,exchange,source,rank_in_country,ICC,mktcap,name_icc,sector_icc
NMR,Japan,23875721216.0,Financial Services,Nomura Holdings Inc,EQUITY,Nomura Holdings Inc ADR American Depositary Shares,N,nasdaq_trader_symbol_directories,6,0.08040745966871066,23875721216.0,Nomura Holdings Inc,Financial Services
PAYP,Japan,13693151232.0,Technology,PayPay Corporation - American D,EQUITY,PayPay Corporation - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories,7,0.4,13693151232.0,PayPay Corporation - American D,Technology
LAWR,Japan,172350000.0,Industrials,"Robot Consulting Co., Ltd.",EQUITY,"Robot Consulting Co., Ltd. - ADS",NASDAQ,nasdaq_trader_symbol_directories,8,,,,
LFS,Japan,52975256.0,Communication Services,"LEIFRAS Co., Ltd.",EQUITY,"LEIFRAS Co., Ltd. - American Depositary Shares",NASDAQ,nasdaq_trader_symbol_directories,9,,,,
PCLA,Japan,22592440.0,Communication Services,PicoCELA Inc.,EQUITY,PicoCELA Inc. - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,10,,,,
KSPI,Kazakhstan,16171661312.0,Technology,Joint Stock Company Kaspi.kz - ,EQUITY,Joint Stock Company Kaspi.kz - American Depository Shares,NASDAQ,nasdaq_trader_symbol_directories,1,0.4,16171661312.0,Joint Stock Company Kaspi.kz - ,Technology
TS,Luxembourg,31616868352.0,Energy,Tenaris S.A.,EQUITY,Tenaris S.A. American Depositary Shares,N,nasdaq_trader_symbol_directories,1,0.07139329345132917,31616868352.0,Tenaris S.A.,Energy
TX,Luxembourg,8325408768.0,Basic Materials,Ternium S.A. Ternium S.A.,EQUITY,"Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares, USD1.00 par value)",N,nasdaq_trader_symbol_directories,2,0.1854128701597294,8325408768.0,Ternium S.A. Ternium S.A.,Basic Materials
NWGL,Macau,15559975.0,Basic Materials,CL Workshop Group Limited,EQUITY,CL Workshop Group Limited - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,1,,,,
CX,Mexico,18149918720.0,Basic Materials,"Cemex, S.A.B. de C.V. Sponsored",EQUITY,"Cemex, S.A.B. de C.V. Sponsored ADR",N,nasdaq_trader_symbol_directories,1,0.0968987501668579,18149918720.0,"Cemex, S.A.B. de C.V. Sponsored",Basic Materials
VIST,Mexico,7332364800.0,Energy,Vista Energy S.A.B. de C.V.,EQUITY,"Vista Energy S.A.B. de C.V. American Depositary Shares, each representing one series A share, with no par value",N,nasdaq_trader_symbol_directories,2,0.4,7332364800.0,Vista Energy S.A.B. de C.V.,Energy
OMAB,Mexico,5509189120.0,Industrials,Grupo Aeroportuario del Centro ,EQUITY,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,NASDAQ,nasdaq_trader_symbol_directories,3,0.1044455171173172,5509189120.0,Grupo Aeroportuario del Centro ,Industrials
SIM,Mexico,4871727104.0,Basic Materials,"Grupo Simec, S.A.B. de C.V.",EQUITY,"Grupo Simec, S.A.B. de C.V. American Depositary Shares",A,nasdaq_trader_symbol_directories,4,0.030030144705807213,4871727104.0,"Grupo Simec, S.A.B. de C.V.",Basic Materials
VTMX,Mexico,2999105024.0,Real Estate,"Corporacion Inmobiliaria Vesta,",EQUITY,"Corporacion Inmobiliaria Vesta, S.A.B de C.V. American Depositary Shares, each representing ten (10) Common Shares",N,nasdaq_trader_symbol_directories,5,0.0959454549944464,2999105024.0,"Corporacion Inmobiliaria Vesta,",Real Estate
AERO,Mexico,2172501760.0,Industrials,"Grupo Aeromexico, S.A.B. de C.V",EQUITY,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",N,nasdaq_trader_symbol_directories,6,0.14485777555857926,2172501760.0,"Grupo Aeromexico, S.A.B. de C.V",Industrials
VLRS,Mexico,847297344.0,Industrials,Controladora Vuela Compania de ,EQUITY,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V. American Depositary Shares, each representing ten (10) Ordinary Participation Certificates",N,nasdaq_trader_symbol_directories,7,0.010000000000000002,847297344.0,Controladora Vuela Compania de ,Industrials
ARGX,Netherlands,49242910720.0,Healthcare,argenx SE,EQUITY,argenx SE - American Depositary Shares,NASDAQ,nasdaq_trader_symbol_directories,1,0.07946384819753755,49242910720.0,argenx SE,Healthcare
